Video_ID,Channel_ID,Channel_Name,Channel_UC,YouTube_Video_ID,Video_Title,Year,PublishedAt,DurationSeconds,DurationISO,Matched_Keywords,CaptionFlag,Transcript_Available,Transcript_Provider,Transcript_Reason,Transcript_Path,Meta_Path
V0011,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,1Cr9cUdsGnM,Stay Ahead of Ransomware - The AI Arms Race: When Both Sides Have Copilots,2026,2026-02-04T07:08:01Z,3616,PT1H16S,extortion;ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0011.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0011.meta.json
V0012,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,g2fxSyoohZo,AI-Powered Ransomware: How Threat Actors Weaponize AI Across the Attack Lifecycle,2026,2026-01-07T07:07:29Z,3575,PT59M35S,incident response;ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0012.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0012.meta.json
V0013,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,p0CpWxfQAjI,Extracting the unseen: Real-world RAM acquisition and analysis from Android devices,2025,2025-12-16T20:17:47Z,1879,PT31M19S,encrypt;encryption;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0013.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0013.meta.json
V0014,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,AG4HPlgotco,"Digital forensics and security: Automate audits, investigations and response with AWX and Ansible",2025,2025-12-11T16:14:16Z,1897,PT31M37S,incident response;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0014.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0014.meta.json
V0015,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,1ozfZ0CEZbo,Tool: Forensic WACE - A multi-threaded tool for  forensic analysis of What’s App chats,2025,2025-12-11T15:49:07Z,853,PT14M13S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0015.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0015.meta.json
V0016,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,p3SEEdV425I,When the threat group doesn’t leave: Incident response under fire,2025,2025-12-10T18:57:09Z,1789,PT29M49S,extortion;incident response;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0016.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0016.meta.json
V0017,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,a-_di0nfOL8,Mobile device hardening: A forensic comparison of advanced protection programmes in IOS and Android,2025,2025-12-10T18:35:53Z,1681,PT28M1S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0017.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0017.meta.json
V0018,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,8GE-fIw7sb8,Tool: Location log analysis of Google Maps IOS,2025,2025-12-10T18:33:15Z,854,PT14M14S,conti;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0018.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0018.meta.json
V0019,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,ELcsKcR_seo,PDF forensics and authenticity detection,2025,2025-12-10T18:32:19Z,1730,PT28M50S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0019.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0019.meta.json
V0020,C02,SANS Digital Forensics and Incident Response,UCwSo89W3KgPrid41vskBDYA,V6VnQ-h4K-o,MacOS telemetry vs EDR telemetry - Which is better?,2025,2025-12-10T18:23:26Z,1845,PT30M45S,incident response;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0020.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C02_SANS_Digital_Forensics_and_Incident_Response/V0020.meta.json
V0021,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,om5x9aFrnLE,Black Hat USA 2025 | Enhancing Command Line Classification with Benign Anomalous Data,2026,2026-02-25T01:14:29Z,2178,PT36M18S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0021.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0021.meta.json
V0022,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,3CV1efZSHmQ,Black Hat USA 2025 | FACADE: High-Precision Insider Threat Detection Using Contrastive Learning,2026,2026-02-24T21:02:01Z,2283,PT38M3S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0022.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0022.meta.json
V0023,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,5RH0StmV7Eo,Black Hat USA 2025 | Breaking Out of The AI Cage: Pwning AI Providers with NVIDIA Vulnerabilities,2026,2026-02-23T19:00:04Z,2181,PT36M21S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0023.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0023.meta.json
V0024,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,9EA7kz4bGvQ,Black Hat USA 2025 | Autonomous Timeline Analysis and Threat Hunting: An AI Agent for Timesketch,2026,2026-02-23T16:00:13Z,2221,PT37M1S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0024.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0024.meta.json
V0025,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,M_BDq2hTJxU,Black Hat USA 2025 | AI Enterprise Compromise - 0click Exploit Methods,2026,2026-02-22T19:00:15Z,2425,PT40M25S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0025.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0025.meta.json
V0026,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,KC-8DhS8x5Q,Black Hat USA 2025 | Vaulted Severance: Your Secrets Are Now Outies,2026,2026-02-22T15:00:29Z,1787,PT29M47S,encrypt;encryption;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0026.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0026.meta.json
V0027,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,e69OE0ZjskA,Black Hat USA 2025 | A Fireside Chat with Cognitive Scientist and AI Expert Gary Marcus,2026,2026-02-21T18:30:55Z,2318,PT38M38S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0027.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0027.meta.json
V0028,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,8V4i8TW1YXU,Black Hat USA 2025 | Hacking the Status Quo: Tales From Leading Women in Cybersecurity,2026,2026-02-21T15:30:04Z,2423,PT40M23S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0028.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0028.meta.json
V0029,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,xQy1YcLK1Ak,Black Hat USA 2025 | Exploiting DNS for Stealthy User Tracking,2026,2026-02-20T19:00:58Z,1680,PT28M,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0029.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0029.meta.json
V0030,C03,Black Hat,UCJ6q9Ie29ajGqKApbLqfBOg,zipgr080EQU,Black Hat USA 2025 | From Prompts to Pwns: Exploiting and Securing AI Agents,2026,2026-02-20T16:01:31Z,2379,PT39M39S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0030.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C03_Black_Hat/V0030.meta.json
V0031,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,3F5icGjDWfg,DEF CON 33 - DisguiseDelimit: Exploiting Synology NAS with Delimiters and Novel Tricks - Ryan Emmon,2026,2026-02-18T23:00:09Z,2379,PT39M39S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0031.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0031.meta.json
V0032,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,Gu4IoDXNqoU,DEF CON 33 - Browser Extension Clickjacking: One Click and Your Credit Card Is Stolen  - Marek Tóth,2026,2026-02-18T22:58:50Z,3010,PT50M10S,ir;locker,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0032.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0032.meta.json
V0033,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,NrTNNi9PP5Y,DEF CON 33  - Can't Stop the ROP: Automating Universal ASLR Bypasses - Bramwell Brizendine,2026,2026-02-18T22:56:27Z,2565,PT42M45S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0033.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0033.meta.json
V0034,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,4HGFlZZfWc8,DEF CON 33 Recon Village - OSINT & Modern Recon Uncover Global VPN Infrastructure - Vladimir Tokarev,2025,2025-12-31T11:30:45Z,2393,PT39M53S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0034.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0034.meta.json
V0035,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,gMvNKsl65NA,DEF CON 33 - Voting Village - Is E2E Verifiability a Magic Bullet for Online Voting - John Odum,2025,2025-11-04T00:59:47Z,1655,PT27M35S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0035.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0035.meta.json
V0036,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,gRU0-z1of2Y,"DEF CON 33 Voting Village - Dominion ICX Simple Hacks Daunting Recoveries - Springall, Davis, Marks",2025,2025-11-04T00:59:47Z,2766,PT46M6S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0036.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0036.meta.json
V0037,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,yvbe6n82f0I,"DEF CON 33 - Voting Village - ""Fortress Island"" Physical Security in Voting Systems - Drew Springall",2025,2025-11-04T00:59:47Z,2012,PT33M32S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0037.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0037.meta.json
V0038,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,5mWnGZWUEMQ,DEF CON 33 - Voting Village - A Review of Post Election Audits in Swing States - Susan Greenhalgh,2025,2025-11-04T00:59:45Z,1710,PT28M30S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0038.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0038.meta.json
V0039,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,5qmpv44knF8,DEF CON 33 -Voting Village - Protecting Election Researchers Globally - Miracle Owolabi,2025,2025-11-04T00:59:45Z,892,PT14M52S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0039.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0039.meta.json
V0040,C04,DEF CON Conference,UC6Om9kAkl32dWlDSNlDS9Iw,OyUNja7QSv8,"DEF CON 33 - Voting Village - When Insiders Are the Threat - Burbank, Greenhalgh, Marks, Jefferson",2025,2025-11-04T00:59:44Z,3478,PT57M58S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0040.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C04_DEF_CON_Conference/V0040.meta.json
V0041,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,gIeau0bhhMI,"Speed, Stealth, and AI: The CrowdStrike 2026 Global Threat Report",2026,2026-02-24T08:00:47Z,1996,PT33M16S,conti;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0041.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0041.meta.json
V0042,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,8U3AujVy1Jg,"Interview with a Threat Hunter: Brody Nisbet, Sr. Director of CrowdStrike OverWatch",2026,2026-02-12T13:00:29Z,2390,PT39M50S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0042.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0042.meta.json
V0043,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,vvdR23zxL0E,Detect OPERATOR PANDA at the Edge with Falcon Adversary Overwatch,2026,2026-02-11T20:40:05Z,321,PT5M21S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0043.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0043.meta.json
V0044,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,aHQzT0eJ7C0,LABYRINTH CHOLLIMA Evolves into Three Adversaries,2026,2026-01-29T13:00:02Z,1927,PT32M7S,conti;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0044.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0044.meta.json
V0045,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,MFRxNItZZP4,Under The Light: Operationalizing CTEM with Falcon Exposure Management,2026,2026-01-27T19:50:54Z,377,PT6M17S,conti;ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0045.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0045.meta.json
V0046,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,YXLpTzzvi1Q,"Taking Down Cybercriminals with Shawn Henry, Former FBI Leader",2026,2026-01-15T13:01:13Z,2927,PT48M47S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0046.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0046.meta.json
V0047,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,lRSGQV8Clgw,2025 Wrapped: Updates on This Year’s Hottest Topics,2025,2025-12-29T17:51:26Z,2172,PT36M12S,data leak;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0047.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0047.meta.json
V0048,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,3iNHYERZAvg,Is This Endgame? How Takedowns Are Reshaping eCrime,2025,2025-12-18T14:00:10Z,2145,PT35M45S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0048.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0048.meta.json
V0049,C05,CrowdStrike,UCsRdY9CtEVWTNO4ulwfzqVA,MnZcvFn9VxQ,CrowdStrike Leads the Way in the 2025 MITRE ATT&CK Enterprise Evaluations,2025,2025-12-15T17:03:33Z,355,PT5M55S,ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0049.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C05_CrowdStrike/V0049.meta.json
